Request_id,Pickup_point,Driver_point,Status,Request_timestamp,Drop _timestamp
619,Railwaystation,Hyderabad,Trip Completed,11/7/2016 11:51,11/7/2016 13:00
867,Railwaystation,Hyderabad,Trip Completed,11/7/2016 17:57,11/7/2016 18:47
1807,Airport,Hyderabad,Trip Completed,12/7/2016 9:17,12/7/2016 9:58
2532,Railwaystation,Hyderabad,Trip Completed,12/7/2016 21:08,12/7/2016 22:03
3112,Airport,Hyderabad,Trip Completed,13-07-2016 08:33:16,13-07-2016 09:25:47
3879,Railwaystation,Hyderabad,Trip Completed,13-07-2016 21:57:28,13-07-2016 22:28:59
4270,Railwaystation,Hyderabad,Trip Completed,14-07-2016 06:15:32,14-07-2016 07:13:15
5510,Railwaystation,Hyderabad,Trip Completed,15-07-2016 05:11:52,15-07-2016 06:07:52
6248,Airport,Hyderabad,Trip Completed,15-07-2016 17:57:27,15-07-2016 18:50:51
267,Airport,Hyderabad,Trip Completed,11/7/2016 6:46,11/7/2016 7:25
1467,Railwaystation,Hyderabad,Trip Completed,12/7/2016 5:08,12/7/2016 6:02
1983,Airport,Hyderabad,Trip Completed,12/7/2016 12:30,12/7/2016 12:57
2784,Railwaystation,Hyderabad,Trip Completed,13-07-2016 04:49:20,13-07-2016 05:23:03
3075,Airport,Hyderabad,Trip Completed,13-07-2016 08:02:53,13-07-2016 09:16:19
3379,Airport,Hyderabad,Trip Completed,13-07-2016 14:23:02,13-07-2016 15:35:18
3482,Railwaystation,Hyderabad,Trip Completed,13-07-2016 17:23:18,13-07-2016 18:20:51
4652,Airport,Hyderabad,Trip Completed,14-07-2016 12:01:02,14-07-2016 12:36:46
5335,Railwaystation,Hyderabad,Trip Completed,14-07-2016 22:24:13,14-07-2016 23:18:52
535,Railwaystation,Hyderabad,Trip Completed,11/7/2016 10:00,11/7/2016 10:31
960,Railwaystation,Hyderabad,Trip Completed,11/7/2016 18:45,11/7/2016 19:23
1934,Railwaystation,Hyderabad,Trip Completed,12/7/2016 11:17,12/7/2016 12:23
2083,Railwaystation,Hyderabad,Trip Completed,12/7/2016 15:46,12/7/2016 16:40
2211,Railwaystation,Hyderabad,Trip Completed,12/7/2016 18:00,12/7/2016 18:28
3096,Railwaystation,Hyderabad,Trip Completed,13-07-2016 08:17:29,13-07-2016 09:22:37
3881,Railwaystation,Hyderabad,Trip Completed,13-07-2016 21:54:18,13-07-2016 22:51:23
5254,Airport,Hyderabad,Trip Completed,14-07-2016 21:23:03,14-07-2016 22:25:19
5434,Airport,Hyderabad,Trip Completed,15-07-2016 02:41:38,15-07-2016 03:24:43
5916,Airport,Hyderabad,Trip Completed,15-07-2016 10:00:43,15-07-2016 10:53:06
669,Airport,Hyderabad,Trip Completed,11/7/2016 13:08,11/7/2016 13:49
1567,Railwaystation,Hyderabad,Trip Completed,12/7/2016 6:21,12/7/2016 7:10
1826,Airport,Hyderabad,Trip Completed,12/7/2016 9:27,12/7/2016 10:27
2102,Airport,Hyderabad,Trip Completed,12/7/2016 16:09,12/7/2016 17:01
2847,Railwaystation,Hyderabad,Trip Completed,13-07-2016 05:34:20,13-07-2016 06:09:59
3722,Railwaystation,Hyderabad,Trip Completed,13-07-2016 19:57:59,13-07-2016 20:32:04
4075,Airport,Hyderabad,Trip Completed,14-07-2016 02:17:35,14-07-2016 03:21:38
4686,Airport,Hyderabad,Trip Completed,14-07-2016 13:01:10,14-07-2016 13:45:28
5771,Railwaystation,Hyderabad,Trip Completed,15-07-2016 08:30:06,15-07-2016 09:37:20
6106,Railwaystation,Hyderabad,Trip Completed,15-07-2016 15:01:20,15-07-2016 15:47:31
312,Airport,Hyderabad,Trip Completed,11/7/2016 7:27,11/7/2016 8:31
577,Railwaystation,Hyderabad,Trip Completed,11/7/2016 11:03,11/7/2016 12:01
1179,Airport,Hyderabad,Trip Completed,11/7/2016 20:58,11/7/2016 21:45
1756,Railwaystation,Hyderabad,Trip Completed,12/7/2016 8:40,12/7/2016 9:23
2052,Airport,Hyderabad,Trip Completed,12/7/2016 14:48,12/7/2016 15:50
2559,Airport,Hyderabad,Trip Completed,12/7/2016 21:32,12/7/2016 22:29
3014,Airport,Hyderabad,Trip Completed,13-07-2016 07:28:14,13-07-2016 08:29:47
3317,Airport,Hyderabad,Trip Completed,13-07-2016 12:14:27,13-07-2016 12:46:38
4297,Airport,Hyderabad,Trip Completed,14-07-2016 06:43:01,14-07-2016 07:49:38
5857,Railwaystation,Hyderabad,Trip Completed,15-07-2016 09:08:50,15-07-2016 10:07:07
6690,Railwaystation,Hyderabad,Trip Completed,15-07-2016 22:41:41,15-07-2016 23:51:00
1517,Railwaystation,Hyderabad,Trip Completed,12/7/2016 5:45,12/7/2016 6:28
1999,Railwaystation,Hyderabad,Trip Completed,12/7/2016 13:02,12/7/2016 13:51
2960,Railwaystation,Hyderabad,Trip Completed,13-07-2016 06:50:33,13-07-2016 07:40:35
3882,Airport,Hyderabad,Trip Completed,13-07-2016 21:53:03,13-07-2016 22:45:24
4081,Railwaystation,Hyderabad,Trip Completed,14-07-2016 02:37:14,14-07-2016 03:30:27
4740,Airport,Hyderabad,Trip Completed,14-07-2016 14:50:07,14-07-2016 15:38:14
5270,Airport,Hyderabad,Trip Completed,14-07-2016 21:33:55,14-07-2016 22:25:43
6758,Railwaystation,Hyderabad,Trip Completed,15-07-2016 00:03:39,15-07-2016 01:07:39
5741,Airport,Hyderabad,Trip Completed,15-07-2016 07:52:51,15-07-2016 08:38:55
6087,Railwaystation,Hyderabad,Trip Completed,15-07-2016 14:28:50,15-07-2016 15:33:53
1039,Airport,Hyderabad,Trip Completed,11/7/2016 19:31,11/7/2016 20:41
1273,Railwaystation,Hyderabad,Trip Completed,11/7/2016 22:07,11/7/2016 23:12
2480,Airport,Hyderabad,Trip Completed,12/7/2016 20:39,12/7/2016 21:28
4105,Airport,Hyderabad,Trip Completed,14-07-2016 03:39:38,14-07-2016 04:39:04
4509,Airport,Hyderabad,Trip Completed,14-07-2016 09:11:13,14-07-2016 10:17:01
4986,Railwaystation,Hyderabad,Trip Completed,14-07-2016 18:52:32,14-07-2016 19:50:57
5898,Airport,Hyderabad,Trip Completed,15-07-2016 09:50:28,15-07-2016 10:40:39
6142,Railwaystation,Hyderabad,Trip Completed,15-07-2016 15:50:15,15-07-2016 16:36:56
380,Railwaystation,Hyderabad,Trip Completed,11/7/2016 8:18,11/7/2016 9:18
1050,Railwaystation,Hyderabad,Trip Completed,11/7/2016 19:39,11/7/2016 20:30
1769,Airport,Hyderabad,Trip Completed,12/7/2016 8:57,12/7/2016 9:24
2520,Airport,Hyderabad,Trip Completed,12/7/2016 21:05,12/7/2016 22:20
3265,Railwaystation,Hyderabad,Trip Completed,13-07-2016 10:22:07,13-07-2016 11:07:02
4648,Airport,Hyderabad,Trip Completed,14-07-2016 11:55:10,14-07-2016 12:59:34
449,Railwaystation,Hyderabad,Trip Completed,11/7/2016 9:08,11/7/2016 9:52
